TurkerID,randomint,number of apps requested microphone,number of apps requested location,number of apps requested camera,number of apps requested contacts,number of apps requested phone,number of apps requested storage,number of apps requested calendar,number of apps requested sms,number of apps granted microphone,number of apps granted location,number of apps granted camera,number of apps granted contacts,number of apps granted phone,number of apps granted storage,number of apps granted calendar,number of apps granted sms,fraction of apps granted microphone,fraction of apps granted location,fraction of apps granted camera,fraction of apps granted contacts,fraction of apps granted phone,fraction of apps granted storage,fraction of apps granted calendar,fraction of apps granted sensor,fraction of apps granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A24U7XTFENX96C,14500,25,58,46,48,47,69,9,26,9,27,19,13,14,26,5,13,0.36,0.465517241,0.413043478,0.270833333,0.29787234,0.376811594,0.555555556,0,0.5,3,3,3,4,3,4,3,3,3
A7BEUXS3FTZTH,31242,19,27,20,35,25,42,10,15,8,11,7,10,11,21,3,6,0.421052632,0.407407407,0.35,0.285714286,0.44,0.5,0.3,0,0.4,2,5,5,5,5,5,5,5,5
A2V98P6N59LY9M,78565,32,61,44,66,51,84,14,32,8,14,5,13,16,16,4,11,0.25,0.229508197,0.113636364,0.196969697,0.31372549,0.19047619,0.285714286,0,0.34375,3,3,3,3,3,3,3,3,3
AZX36TLZ8IFSP,33410,25,54,48,59,40,71,10,23,7,29,20,17,10,34,3,8,0.28,0.537037037,0.416666667,0.288135593,0.25,0.478873239,0.3,0,0.347826087,3,4,4,4,3,4,3,4,4
A3UPZ88FI1EJC,16976,17,35,30,41,26,53,9,15,11,29,24,32,20,45,8,10,0.647058824,0.828571429,0.8,0.780487805,0.769230769,0.849056604,0.888888889,0,0.666666667,2,4,3,4,4,2,4,4,4
A2BNOEYZ3VRW2R,23706,14,18,15,20,20,30,7,10,9,7,7,7,8,20,4,7,0.642857143,0.388888889,0.466666667,0.35,0.4,0.666666667,0.571428571,0,0.7,3,3,3,3,3,3,3,3,3
A39GADIK8RLMVC,14361,21,39,24,37,34,59,13,22,11,20,11,18,17,35,8,15,0.523809524,0.512820513,0.458333333,0.486486486,0.5,0.593220339,0.615384615,0,0.681818182,2,1,1,2,2,2,2,1,2
A4W9APAHFWVLO,24987,27,43,33,45,44,61,12,29,10,14,11,17,14,23,6,14,0.37037037,0.325581395,0.333333333,0.377777778,0.318181818,0.37704918,0.5,0,0.482758621,2,2,4,4,4,5,5,5,5
A1MSLM87Z8CLTK,87000,22,54,33,50,41,80,10,20,5,26,13,17,14,28,6,10,0.227272727,0.481481481,0.393939394,0.34,0.341463415,0.35,0.6,0,0.5,2,4,2,3,3,4,3,3,4
A2NGMLBFZ3YQP5,70644,42,102,86,104,82,135,17,41,13,38,31,32,24,51,7,21,0.30952381,0.37254902,0.360465116,0.307692308,0.292682927,0.377777778,0.411764706,0,0.512195122,4,4,2,4,4,4,2,0,3
A1XFAUNS2LQL9H,61638,20,31,27,35,26,45,9,19,13,25,21,26,21,38,8,14,0.65,0.806451613,0.777777778,0.742857143,0.807692308,0.844444444,0.888888889,0,0.736842105,4,4,3,5,3,4,3,2,4
A3G5IPGLH1IIZN,96557,28,58,43,67,43,86,8,19,6,15,9,15,6,24,3,6,0.214285714,0.25862069,0.209302326,0.223880597,0.139534884,0.279069767,0.375,0,0.315789474,5,5,5,5,5,5,3,4,5
A1ICZ6VHY7Y2OY,12386,29,55,43,63,54,80,13,32,23,51,39,54,44,75,12,28,0.793103448,0.927272727,0.906976744,0.857142857,0.814814815,0.9375,0.923076923,0,0.875,5,5,5,5,5,5,5,5,5
A3NUYAG56BPYBB,84685,11,20,11,24,15,34,6,10,5,10,2,12,9,17,2,7,0.454545455,0.5,0.181818182,0.5,0.6,0.5,0.333333333,0,0.7,4,3,4,3,4,4,4,3,3
A3MPHGI584PR1U,18884,31,52,38,51,49,72,15,29,11,16,13,17,18,33,7,15,0.35483871,0.307692308,0.342105263,0.333333333,0.367346939,0.458333333,0.466666667,0,0.517241379,3,3,3,3,3,3,3,3,3
A1MJFW27HXR76D,74101,24,36,31,47,35,60,11,22,18,31,22,35,28,52,8,15,0.75,0.861111111,0.709677419,0.744680851,0.8,0.866666667,0.727272727,0,0.681818182,3,4,3,4,4,3,2,3,4
A30GPAEVFFIAIW,66928,31,49,43,51,46,71,15,28,13,24,22,21,18,45,5,16,0.419354839,0.489795918,0.511627907,0.411764706,0.391304348,0.633802817,0.333333333,0,0.571428571,3,5,5,5,5,3,4,3,5
A2RVEG53L48BAE,68639,15,28,17,26,25,34,8,12,0,4,1,6,7,14,3,2,0,0.142857143,0.058823529,0.230769231,0.28,0.411764706,0.375,0,0.166666667,4,4,5,5,5,5,5,3,5
A171WYV1TRESW8,27680,15,29,22,33,29,41,8,16,5,8,8,10,10,18,5,9,0.333333333,0.275862069,0.363636364,0.303030303,0.344827586,0.43902439,0.625,0,0.5625,5,5,5,5,5,5,5,5,5
A15RSC70TW7ZKW,69738,29,38,41,49,44,72,11,25,6,15,8,11,15,29,6,12,0.206896552,0.394736842,0.195121951,0.224489796,0.340909091,0.402777778,0.545454545,0,0.48,2,2,3,2,2,2,2,2,2
A34I7PV0UHRMKS,94397,27,55,42,58,47,81,15,29,6,13,12,15,15,20,5,13,0.222222222,0.236363636,0.285714286,0.25862069,0.319148936,0.24691358,0.333333333,0,0.448275862,2,4,4,4,2,4,2,2,2
A3C49ON1P4KF40,83527,22,53,37,52,41,74,12,21,7,26,13,15,12,26,2,8,0.318181818,0.490566038,0.351351351,0.288461538,0.292682927,0.351351351,0.166666667,0,0.380952381,3,4,5,3,4,4,3,3,4
A2798F0ZHDDZ78,73931,31,88,56,75,72,109,22,34,8,54,20,28,22,47,4,15,0.258064516,0.613636364,0.357142857,0.373333333,0.305555556,0.431192661,0.181818182,0,0.441176471,4,3,3,2,3,4,4,2,3
ALM8YFO0272UR,86777,25,46,39,50,37,62,13,25,19,42,30,42,34,57,9,21,0.76,0.913043478,0.769230769,0.84,0.918918919,0.919354839,0.692307692,0,0.84,3,3,5,2,4,4,2,3,4
AMYRVTU53MLYO,66914,18,35,32,39,32,53,9,19,8,14,14,13,15,33,5,9,0.444444444,0.4,0.4375,0.333333333,0.46875,0.622641509,0.555555556,0,0.473684211,2,1,2,2,2,4,1,1,4
A5T9IFDZ3W4T6,37706,20,39,28,38,34,52,10,19,7,17,10,11,10,20,4,9,0.35,0.435897436,0.357142857,0.289473684,0.294117647,0.384615385,0.4,0,0.473684211,3,4,2,4,4,5,3,5,4
A2VR9O234UCT9T,27081,24,43,38,45,38,66,10,21,8,20,15,12,16,28,5,8,0.333333333,0.465116279,0.394736842,0.266666667,0.421052632,0.424242424,0.5,0,0.380952381,3,3,4,4,3,3,2,3,3
A2QQFGD7K7AHK8,15759,15,23,20,28,19,32,9,12,5,4,4,9,7,14,4,5,0.333333333,0.173913043,0.2,0.321428571,0.368421053,0.4375,0.444444444,0,0.416666667,5,5,5,3,5,4,3,3,5
A3NYQPXI8I57R1,82530,15,26,17,32,23,42,9,17,6,11,5,16,12,25,3,12,0.4,0.423076923,0.294117647,0.5,0.52173913,0.595238095,0.333333333,0,0.705882353,4,4,4,4,4,4,4,4,4
A2KVYRNL2CK95F,65340,16,24,24,34,36,50,8,18,4,6,9,12,22,28,3,10,0.25,0.25,0.375,0.352941176,0.611111111,0.56,0.375,0,0.555555556,3,4,3,3,3,2,3,3,3
A2TH9DIRISH8FE,25227,32,43,37,45,34,80,8,18,12,19,11,13,12,41,3,8,0.375,0.441860465,0.297297297,0.288888889,0.352941176,0.5125,0.375,0,0.444444444,1,1,1,1,1,1,1,1,1
AA8MK8AWWWL62,72568,34,83,66,84,70,118,18,39,9,35,20,20,20,51,7,17,0.264705882,0.421686747,0.303030303,0.238095238,0.285714286,0.43220339,0.388888889,0,0.435897436,4,4,4,3,4,4,3,4,4
A1PP6DN7HB6Q9P,87973,19,32,27,39,30,54,11,16,8,12,6,14,12,26,5,9,0.421052632,0.375,0.222222222,0.358974359,0.4,0.481481481,0.454545455,0,0.5625,1,2,5,5,4,1,1,3,5
A27TKWMGFUCDMY,29674,20,35,22,39,29,52,8,22,6,13,5,15,13,26,3,12,0.3,0.371428571,0.227272727,0.384615385,0.448275862,0.5,0.375,0,0.545454545,2,2,2,2,2,2,2,2,2
AICK0VN8QOZT2,37488,33,57,45,57,50,82,10,25,15,23,17,11,15,44,5,10,0.454545455,0.403508772,0.377777778,0.192982456,0.3,0.536585366,0.5,0,0.4,5,4,3,2,3,4,3,3,3
A33YV3NK3GWR8V,12311,25,41,35,50,38,61,13,22,9,19,13,18,13,30,7,10,0.36,0.463414634,0.371428571,0.36,0.342105263,0.491803279,0.538461538,0,0.454545455,3,4,4,4,4,4,4,4,4
AQDJLDXG1PAF3,69936,20,41,31,42,30,63,11,18,8,16,9,13,11,20,4,9,0.4,0.390243902,0.290322581,0.30952381,0.366666667,0.317460317,0.363636364,0,0.5,4,5,4,4,5,5,3,4,5
A2NCNAIYI022X9,17852,16,29,24,29,28,42,8,15,11,21,16,23,17,33,8,10,0.6875,0.724137931,0.666666667,0.793103448,0.607142857,0.785714286,1,0,0.666666667,3,3,3,2,2,4,2,2,3
AIX6PAGON01EE,41402,47,74,64,79,69,129,15,32,13,32,22,24,19,56,5,13,0.276595745,0.432432432,0.34375,0.303797468,0.275362319,0.434108527,0.333333333,0,0.40625,3,5,4,5,2,3,2,2,3
AKP3UXJ0TDPVO,74978,11,22,15,24,23,27,9,12,5,11,4,13,10,12,4,4,0.454545455,0.5,0.266666667,0.541666667,0.434782609,0.444444444,0.444444444,0,0.333333333,2,2,4,4,4,4,4,4,4
A2LV5432PV1S39,98138,20,45,33,46,42,62,11,20,14,35,25,38,28,53,10,14,0.7,0.777777778,0.757575758,0.826086957,0.666666667,0.85483871,0.909090909,0,0.7,5,5,5,5,5,5,5,5,5
A112LUS6RHBNYB,71890,25,44,33,42,26,69,10,15,11,27,14,13,10,33,4,9,0.44,0.613636364,0.424242424,0.30952381,0.384615385,0.47826087,0.4,0,0.6,5,4,4,4,4,5,5,0,2
A2KBDMSS91OUPE,55070,49,101,73,87,85,135,18,41,14,41,26,23,20,46,5,17,0.285714286,0.405940594,0.356164384,0.264367816,0.235294118,0.340740741,0.277777778,0,0.414634146,2,4,2,4,2,2,2,2,2
A02V2W10EPTMQ,37803,13,19,14,27,20,28,6,10,3,8,5,10,7,15,2,4,0.230769231,0.421052632,0.357142857,0.37037037,0.35,0.535714286,0.333333333,0,0.4,4,4,4,4,4,4,4,4,4
A12C01LD8TO3Y8,41188,21,35,23,37,33,45,13,18,8,18,6,15,14,20,5,10,0.380952381,0.514285714,0.260869565,0.405405405,0.424242424,0.444444444,0.384615385,0,0.555555556,3,3,3,3,3,3,3,3,3
AFDYZFJVIAUJ,79771,26,40,32,43,28,48,9,15,10,17,7,11,8,13,3,5,0.384615385,0.425,0.21875,0.255813953,0.285714286,0.270833333,0.333333333,0,0.333333333,3,5,4,5,5,5,4,4,5
A37N5X89RE99B0,37720,26,42,31,48,44,60,13,30,9,19,8,18,17,28,6,16,0.346153846,0.452380952,0.258064516,0.375,0.386363636,0.466666667,0.461538462,0,0.533333333,3,4,2,4,4,4,4,2,3
A2UTHR7YGLN9DC,71328,28,36,35,44,41,54,12,23,8,19,15,12,15,32,5,9,0.285714286,0.527777778,0.428571429,0.272727273,0.365853659,0.592592593,0.416666667,0,0.391304348,3,3,3,3,3,4,3,3,3
AZ2DZLLMYQF1P,58982,19,32,28,35,30,48,8,17,8,13,10,8,9,21,2,4,0.421052632,0.40625,0.357142857,0.228571429,0.3,0.4375,0.25,0,0.235294118,2,5,5,4,5,2,2,5,3
A2539PUSDD137T,72489,28,48,39,43,37,71,14,19,7,20,9,12,9,29,4,6,0.25,0.416666667,0.230769231,0.279069767,0.243243243,0.408450704,0.285714286,0,0.315789474,3,3,4,4,4,3,1,3,3
A3E73BVSABJ7LM,44333,8,21,13,22,18,35,6,9,4,3,6,7,7,16,3,7,0.5,0.142857143,0.461538462,0.318181818,0.388888889,0.457142857,0.5,0,0.777777778,4,5,5,4,4,4,4,4,5
A1HKB73TUJ5Z42,37553,11,23,15,24,18,29,6,9,3,9,4,11,8,11,3,5,0.272727273,0.391304348,0.266666667,0.458333333,0.444444444,0.379310345,0.5,0,0.555555556,3,4,4,3,4,4,3,4,4
A20WI3VW3CBOWN,84117,28,63,50,57,47,73,11,31,12,21,20,18,14,28,5,12,0.428571429,0.333333333,0.4,0.315789474,0.29787234,0.383561644,0.454545455,0,0.387096774,2,4,3,4,3,3,3,2,3
A3JXAURWDF54DG,89691,35,51,50,62,53,82,14,28,16,28,20,20,18,34,5,10,0.457142857,0.549019608,0.4,0.322580645,0.339622642,0.414634146,0.357142857,0,0.357142857,1,1,1,1,1,1,1,1,1
A3P46WP16JCU2V,52757,35,53,48,60,53,84,12,31,10,21,12,16,17,37,4,13,0.285714286,0.396226415,0.25,0.266666667,0.320754717,0.44047619,0.333333333,0,0.419354839,2,4,3,4,4,4,3,0,2
A1PKCBFB4QY19G,99400,36,81,64,80,75,117,15,28,18,42,36,36,28,59,11,15,0.5,0.518518519,0.5625,0.45,0.373333333,0.504273504,0.733333333,0,0.535714286,1,3,1,2,3,1,2,1,3
A17CM9QPETQYGH,16888,49,92,67,82,84,131,14,31,19,60,43,37,35,81,5,17,0.387755102,0.652173913,0.641791045,0.451219512,0.416666667,0.618320611,0.357142857,0,0.548387097,2,2,2,2,2,2,2,2,2
A2WNVSJ1Y06SS1,50970,30,44,34,45,44,67,10,27,8,16,16,14,14,31,4,15,0.266666667,0.363636364,0.470588235,0.311111111,0.318181818,0.462686567,0.4,0,0.555555556,4,5,5,3,4,5,2,4,4
A002160837SWJFPIAI7L,87492,21,39,30,45,38,56,11,27,10,18,14,18,21,30,6,16,0.476190476,0.461538462,0.466666667,0.4,0.552631579,0.535714286,0.545454545,0,0.592592593,4,5,5,5,3,5,2,2,4
A1OK974KXKO6FJ,36966,35,58,38,57,55,88,13,29,10,27,12,18,17,40,6,14,0.285714286,0.465517241,0.315789474,0.315789474,0.309090909,0.454545455,0.461538462,0,0.482758621,2,2,1,3,2,3,2,2,4
A1PE5GCMNEFIT4,64440,22,30,23,34,32,45,10,21,9,13,8,13,14,21,5,12,0.409090909,0.433333333,0.347826087,0.382352941,0.4375,0.466666667,0.5,0,0.571428571,2,2,2,2,2,2,2,2,2
AI2PQDHMQXG2S,90764,42,87,62,76,64,121,16,26,21,68,36,53,33,82,8,18,0.5,0.781609195,0.580645161,0.697368421,0.515625,0.67768595,0.5,0,0.692307692,4,5,2,4,4,5,3,4,5
A29AX5O8KL48F8,11719,18,28,24,29,27,39,8,18,6,11,11,9,11,21,5,10,0.333333333,0.392857143,0.458333333,0.310344828,0.407407407,0.538461538,0.625,0,0.555555556,3,3,4,2,3,4,1,3,4
A1QZ7RWVIXCBH9,28230,27,45,43,46,33,71,11,21,7,21,13,11,8,22,4,5,0.259259259,0.466666667,0.302325581,0.239130435,0.242424242,0.309859155,0.363636364,0,0.238095238,3,4,3,4,4,4,2,3,4
A17SE6TSFTEUHM,73757,24,48,39,51,50,65,11,27,6,24,11,17,16,31,5,13,0.25,0.5,0.282051282,0.333333333,0.32,0.476923077,0.454545455,0,0.481481481,5,5,5,3,4,5,3,3,3
ASUYD8BPYM85M,22948,19,30,25,36,26,52,10,15,5,16,8,14,10,18,4,6,0.263157895,0.533333333,0.32,0.388888889,0.384615385,0.346153846,0.4,0,0.4,4,4,4,4,4,5,3,5,5
A3FH8OSFWOLI7A,45895,24,48,36,52,43,64,16,24,12,21,15,17,15,29,7,14,0.5,0.4375,0.416666667,0.326923077,0.348837209,0.453125,0.4375,0,0.583333333,2,3,3,1,2,3,1,3,3
AUJU22WBACIBR,45257,26,39,36,55,43,79,12,22,10,14,11,15,21,39,5,10,0.384615385,0.358974359,0.305555556,0.272727273,0.488372093,0.493670886,0.416666667,0,0.454545455,0,5,5,0,0,5,0,5,5
A2VPMK37V0JJ5,49331,26,54,37,43,35,68,8,10,5,27,3,11,7,15,3,4,0.192307692,0.5,0.081081081,0.255813953,0.2,0.220588235,0.375,0,0.4,5,4,5,4,4,5,5,4,5
A17N3LOP5HGSQ8,12323,35,86,66,82,71,117,18,29,10,41,17,19,19,51,5,13,0.285714286,0.476744186,0.257575758,0.231707317,0.267605634,0.435897436,0.277777778,0,0.448275862,3,4,3,4,4,5,2,4,3
A36YZCJV91T1EX,98499,34,54,50,63,58,81,13,27,21,40,37,46,38,63,11,20,0.617647059,0.740740741,0.74,0.73015873,0.655172414,0.777777778,0.846153846,0,0.740740741,3,3,4,3,4,4,4,4,4
A2BTDUJFLSBN8E,13096,8,21,13,31,14,40,6,13,6,11,5,13,6,22,2,5,0.75,0.523809524,0.384615385,0.419354839,0.428571429,0.55,0.333333333,0,0.384615385,2,2,2,2,2,3,2,3,3
A1MM8TSLCHVMNK,71705,30,66,57,72,50,96,13,22,4,39,14,12,12,28,6,6,0.133333333,0.590909091,0.245614035,0.166666667,0.24,0.291666667,0.461538462,0,0.272727273,3,3,4,4,3,4,4,4,3
A16H2A65RPIJE1,99812,15,30,22,37,33,49,8,13,3,12,6,11,9,16,2,4,0.2,0.4,0.272727273,0.297297297,0.272727273,0.326530612,0.25,0,0.307692308,2,4,4,4,2,2,4,4,4
A2LBOVE1R9TCNL,86304,12,19,17,28,28,43,7,19,11,18,13,22,25,40,6,15,0.916666667,0.947368421,0.764705882,0.785714286,0.892857143,0.930232558,0.857142857,0,0.789473684,5,1,1,1,1,5,5,1,5
A2CTA782EBXUCT,57599,17,40,32,47,34,65,10,18,4,20,8,13,12,24,4,10,0.235294118,0.5,0.25,0.276595745,0.352941176,0.369230769,0.4,0,0.555555556,2,3,2,4,4,2,2,2,4
A1KZ6I92SWIN75,17730,19,40,31,41,47,58,9,21,6,16,14,11,12,28,4,10,0.315789474,0.4,0.451612903,0.268292683,0.255319149,0.482758621,0.444444444,0,0.476190476,2,1,2,2,2,2,1,2,2
A247EMWK0LVQGK,47702,35,74,56,82,77,111,18,36,20,53,31,52,48,84,11,26,0.571428571,0.716216216,0.553571429,0.634146341,0.623376623,0.756756757,0.611111111,0,0.722222222,3,4,4,3,3,4,3,2,2
A1MICIRPQ6X8B5,52304,22,40,30,44,39,55,10,24,15,33,25,35,30,49,8,19,0.681818182,0.825,0.833333333,0.795454545,0.769230769,0.890909091,0.8,0,0.791666667,4,4,4,3,4,4,3,4,3
A2SF0TUK6XTPCO,93539,26,50,42,53,47,68,11,27,10,22,14,15,13,25,4,13,0.384615385,0.44,0.333333333,0.283018868,0.276595745,0.367647059,0.363636364,0,0.481481481,3,3,4,5,5,2,2,3,4
AEMKB98WAW7YA,25088,27,46,40,46,46,63,11,24,8,22,16,18,16,40,5,12,0.296296296,0.47826087,0.4,0.391304348,0.347826087,0.634920635,0.454545455,0,0.5,2,5,4,4,4,2,1,3,4
A277U5B7IPWZSY,24815,33,77,64,77,60,102,16,36,10,39,20,23,19,41,6,16,0.303030303,0.506493506,0.3125,0.298701299,0.316666667,0.401960784,0.375,0,0.444444444,3,3,4,4,4,4,4,4,4
A1QAXGXLG5SYUR,14600,34,69,51,67,56,88,12,32,11,25,17,17,16,29,5,14,0.323529412,0.362318841,0.333333333,0.253731343,0.285714286,0.329545455,0.416666667,0,0.4375,4,4,5,4,2,1,1,1,2
AB8FEGGUOZXXA,71392,27,51,47,54,47,74,9,26,11,28,24,17,15,37,5,13,0.407407407,0.549019608,0.510638298,0.314814815,0.319148936,0.5,0.555555556,0,0.5,3,3,4,3,4,4,4,4,4
A3A4ZWV53ALGGD,34758,28,69,54,63,62,90,12,26,15,32,31,21,20,52,7,13,0.535714286,0.463768116,0.574074074,0.333333333,0.322580645,0.577777778,0.583333333,0,0.5,5,5,5,5,5,5,5,5,5
AXKM02NVXNGOM,27932,26,46,38,49,34,59,13,20,8,24,13,23,14,25,3,9,0.307692308,0.52173913,0.342105263,0.469387755,0.411764706,0.423728814,0.230769231,0,0.45,2,4,2,2,4,2,2,2,2
ANJML6J7NL7CX,37041,20,38,29,39,31,46,9,17,6,21,4,12,10,17,3,8,0.3,0.552631579,0.137931034,0.307692308,0.322580645,0.369565217,0.333333333,0,0.470588235,4,3,5,3,3,3,2,3,3
A2PGJXWUMD0M2l,13257,33,60,53,63,54,80,10,28,11,29,16,18,16,35,5,12,0.333333333,0.483333333,0.301886792,0.285714286,0.296296296,0.4375,0.5,0,0.428571429,3,3,3,3,3,2,2,3,3
A7MW43YUFAPE9,71825,40,117,92,103,90,147,17,36,19,84,44,54,40,79,9,21,0.475,0.717948718,0.47826087,0.524271845,0.444444444,0.537414966,0.529411765,0,0.583333333,1,4,1,1,1,1,1,1,1
A1USN4KHILLJFN,16707,20,31,33,42,37,48,10,18,9,15,12,11,8,27,4,7,0.45,0.483870968,0.363636364,0.261904762,0.216216216,0.5625,0.4,0,0.388888889,3,3,3,5,3,3,3,3,3
ADIXVUPICNIY4,32689,26,61,48,65,62,96,11,26,8,27,19,17,18,39,6,14,0.307692308,0.442622951,0.395833333,0.261538462,0.290322581,0.40625,0.545454545,0,0.538461538,3,4,4,3,2,3,1,4,4
A13XORUKQX5F4P,89375,33,51,54,56,38,99,7,24,23,39,39,26,20,69,4,14,0.696969697,0.764705882,0.722222222,0.464285714,0.526315789,0.696969697,0.571428571,0,0.583333333,2,2,2,2,2,2,2,2,2
A3ROI7SRC1SG2K,42764,29,46,41,55,50,75,13,27,15,26,23,33,44,47,8,19,0.517241379,0.565217391,0.56097561,0.6,0.88,0.626666667,0.615384615,0,0.703703704,2,2,3,4,4,3,2,1,4
A1RHBUX8TCACCX,85316,17,35,27,46,46,55,11,28,6,15,9,14,22,25,6,16,0.352941176,0.428571429,0.333333333,0.304347826,0.47826087,0.454545455,0.545454545,0,0.571428571,3,4,4,3,4,4,2,2,3
A2ALBHYA6M67ZT,41468,33,62,50,70,62,98,14,26,9,27,8,18,20,34,6,14,0.272727273,0.435483871,0.16,0.257142857,0.322580645,0.346938776,0.428571429,0,0.538461538,5,5,5,5,5,5,5,5,5
A35QYDS8MRV1EX,18957,10,21,15,27,15,39,7,13,4,12,2,9,6,20,2,5,0.4,0.571428571,0.133333333,0.333333333,0.4,0.512820513,0.285714286,0,0.384615385,4,4,4,4,4,4,2,4,4
A3LR5YED234XPN,36881,10,19,13,18,18,28,6,12,6,9,8,12,11,24,4,8,0.6,0.473684211,0.615384615,0.666666667,0.611111111,0.857142857,0.666666667,0,0.666666667,3,3,3,3,3,3,3,3,3
AHZ7C7ETHYX3N,93058,11,25,18,32,16,35,6,9,6,20,14,26,13,30,5,7,0.545454545,0.8,0.777777778,0.8125,0.8125,0.857142857,0.833333333,0,0.777777778,2,2,2,2,2,2,2,2,2
A6N190372TE5T,28273,30,67,58,69,55,94,11,26,13,35,28,24,13,44,5,12,0.433333333,0.52238806,0.482758621,0.347826087,0.236363636,0.468085106,0.454545455,0,0.461538462,4,4,4,3,4,3,3,3,4
AB0ERVDNMMLYS,91257,20,40,31,44,42,61,7,19,9,15,12,11,16,40,5,10,0.45,0.375,0.387096774,0.25,0.380952381,0.655737705,0.714285714,0,0.526315789,4,4,4,3,3,3,1,3,4
A11O504U2EJUGU,49441,20,28,19,49,34,58,9,14,9,9,8,17,15,23,4,9,0.45,0.321428571,0.421052632,0.346938776,0.441176471,0.396551724,0.444444444,0,0.642857143,2,4,4,4,2,2,2,2,4
a3tqoe015me7tn,50375,18,32,24,41,32,47,13,15,4,13,3,12,12,23,3,5,0.222222222,0.40625,0.125,0.292682927,0.375,0.489361702,0.230769231,0,0.333333333,3,4,4,3,5,5,2,3,3
A1L2N1X8U8Z3W7,50502,23,37,29,36,32,61,13,18,8,16,9,10,9,18,3,5,0.347826087,0.432432432,0.310344828,0.277777778,0.28125,0.295081967,0.230769231,0,0.277777778,2,4,5,4,4,2,2,4,4
AFUPQ61YDVIBQ,60029,19,55,27,46,46,63,14,16,6,15,3,9,10,12,3,5,0.315789474,0.272727273,0.111111111,0.195652174,0.217391304,0.19047619,0.214285714,0,0.3125,4,5,5,4,5,4,5,5,5
A1A7KLOCEERE60,63822,17,52,33,48,41,66,12,20,8,26,14,15,15,29,5,11,0.470588235,0.5,0.424242424,0.3125,0.365853659,0.439393939,0.416666667,0,0.55,4,4,2,4,4,4,4,4,4
A2QH1BQA6GR48O,12509,18,32,23,40,20,46,9,18,5,17,7,13,9,23,4,9,0.277777778,0.53125,0.304347826,0.325,0.45,0.5,0.444444444,0,0.5,3,4,4,4,3,3,3,3,4
A3CJE20YDRGCB4,48528,18,32,28,36,28,47,8,18,3,6,7,12,8,14,4,8,0.166666667,0.1875,0.25,0.333333333,0.285714286,0.29787234,0.5,0,0.444444444,2,2,3,2,2,2,2,2,2
A2SHW0VA0MJ8N0,29362,11,21,19,24,17,31,7,12,7,8,10,10,7,25,4,6,0.636363636,0.380952381,0.526315789,0.416666667,0.411764706,0.806451613,0.571428571,0,0.5,3,4,4,3,3,4,3,2,3
AIYJ5S5A9OR2I,93529,54,96,74,93,80,138,15,32,13,35,16,20,22,49,6,15,0.240740741,0.364583333,0.216216216,0.215053763,0.275,0.355072464,0.4,0,0.46875,3,4,4,3,4,3,3,3,3
A1KX1CMLUCQNFX,27953,29,55,43,63,54,80,13,32,23,51,39,54,44,75,12,28,0.793103448,0.927272727,0.906976744,0.857142857,0.814814815,0.9375,0.923076923,0,0.875,5,5,5,5,5,5,5,5,5
A1DENY90PJEZB7,54123,23,30,23,42,41,54,9,21,13,22,15,34,30,50,8,17,0.565217391,0.733333333,0.652173913,0.80952381,0.731707317,0.925925926,0.888888889,0,0.80952381,3,3,4,5,3,3,3,3,3
A2U8EBN3IPMJ19,78275,34,54,40,54,47,72,13,29,11,21,14,16,20,29,3,12,0.323529412,0.388888889,0.35,0.296296296,0.425531915,0.402777778,0.230769231,0,0.413793103,3,3,3,3,4,4,3,3,4
A1LQLIHRB3SCXN,51938,22,28,28,31,28,45,7,15,9,15,10,14,15,24,3,10,0.409090909,0.535714286,0.357142857,0.451612903,0.535714286,0.533333333,0.428571429,0,0.666666667,1,2,1,2,2,3,2,1,3
A1UWI7N32Y2PJ8,36851,34,50,58,50,44,89,14,20,9,26,21,12,9,31,3,6,0.264705882,0.52,0.362068966,0.24,0.204545455,0.348314607,0.214285714,0,0.3,2,3,2,2,4,4,2,2,3
AJQCFLT9M4RKF,14201,11,21,16,30,21,40,9,14,7,8,6,9,11,20,2,7,0.636363636,0.380952381,0.375,0.3,0.523809524,0.5,0.222222222,0,0.5,4,5,3,3,4,4,4,4,4
A1YHIQHLLLQIIQ,19010,21,38,28,42,33,49,8,21,11,14,13,11,10,29,4,10,0.523809524,0.368421053,0.464285714,0.261904762,0.303030303,0.591836735,0.5,0,0.476190476,3,3,4,4,2,4,2,3,4
A33UQADFRXM0N,85600,29,81,57,89,68,149,10,26,7,38,21,23,22,49,4,11,0.24137931,0.469135802,0.368421053,0.258426966,0.323529412,0.32885906,0.4,0,0.423076923,3,5,4,4,3,3,3,3,4
A1CB2A9NEL2D7E,40205,24,44,35,45,40,59,11,21,9,19,12,17,11,36,6,8,0.375,0.431818182,0.342857143,0.377777778,0.275,0.610169492,0.545454545,0,0.380952381,4,4,4,4,4,4,3,4,4
A1HM2VBI4T638R,46894,20,28,22,35,27,44,9,15,14,24,19,31,20,41,8,10,0.7,0.857142857,0.863636364,0.885714286,0.740740741,0.931818182,0.888888889,0,0.666666667,4,5,4,4,4,3,1,3,5
A1V8TY7FNEJI60,63985,43,91,57,76,72,106,15,36,15,55,26,28,27,57,8,17,0.348837209,0.604395604,0.456140351,0.368421053,0.375,0.537735849,0.533333333,0,0.472222222,3,3,3,3,3,3,3,3,3
