TurkerID,number of apps requested microphone,number of apps requested location,number of apps requested camera,number of apps requested contacts,number of apps requested phone,number of apps requested storage,number of apps requested calendar,number of apps requested sensor,number of apps requested sms,number of apps granted microphone,number of apps granted location,number of apps granted camera,number of apps granted contacts,number of apps granted phone,number of apps granted storage,number of apps granted calendar,number of apps granted sensor,number of apps granted sms,fraction of apps granted microphone,fraction of apps granted location,fraction of apps granted camera,fraction of apps granted contacts,fraction of apps granted phone,fraction of apps granted storage,fraction of apps granted calendar,fraction of apps granted sensor,fraction of apps granted sms
A2V98P6N59LY9M,39,69,48,77,62,99,16,1,37,15,22,9,24,27,31,6,1,16,0.384615385,0.31884058,0.1875,0.311688312,0.435483871,0.313131313,0.375,1,0.432432432
A321YWMP74ULKH,24,40,28,54,50,63,10,1,24,12,19,11,23,20,30,3,0,11,0.5,0.475,0.392857143,0.425925926,0.4,0.476190476,0.3,0,0.458333333
AZX36TLZ8IFSP,26,60,52,63,46,77,10,0,25,8,35,24,21,16,40,3,0,10,0.307692308,0.583333333,0.461538462,0.333333333,0.347826087,0.519480519,0.3,0,0.4
A3UPZ88FI1EJC,17,36,30,41,27,53,9,1,15,11,30,24,32,21,45,8,1,10,0.647058824,0.833333333,0.8,0.780487805,0.777777778,0.849056604,0.888888889,1,0.666666667
A2BNOEYZ3VRW2R,14,19,15,21,20,31,7,0,10,9,8,7,8,8,21,4,0,7,0.642857143,0.421052632,0.466666667,0.380952381,0.4,0.677419355,0.571428571,0,0.7
A39GADIK8RLMVC,23,41,26,38,35,62,14,2,23,13,22,13,19,18,38,9,2,16,0.565217391,0.536585366,0.5,0.5,0.514285714,0.612903226,0.642857143,1,0.695652174
A4W9APAHFWVLO,29,47,35,50,50,68,13,1,29,12,18,13,22,20,30,7,1,14,0.413793103,0.382978723,0.371428571,0.44,0.4,0.441176471,0.538461538,1,0.482758621
A1MSLM87Z8CLTK,23,57,35,53,45,91,10,0,20,6,29,15,20,18,39,6,0,10,0.260869565,0.50877193,0.428571429,0.377358491,0.4,0.428571429,0.6,0,0.5
A2NGMLBFZ3YQP5,43,114,98,112,98,159,18,1,43,14,50,43,40,40,75,8,1,23,0.325581395,0.438596491,0.43877551,0.357142857,0.408163265,0.471698113,0.444444444,1,0.534883721
A1XFAUNS2LQL9H,22,34,29,37,28,49,9,1,19,15,28,23,28,23,42,8,1,14,0.681818182,0.823529412,0.793103448,0.756756757,0.821428571,0.857142857,0.888888889,1,0.736842105
A3G5IPGLH1IIZN,35,67,50,77,48,100,8,1,21,13,24,16,25,11,38,3,1,8,0.371428571,0.358208955,0.32,0.324675325,0.229166667,0.38,0.375,1,0.380952381
A1ICZ6VHY7Y2OY,34,61,48,72,64,93,14,1,35,28,57,44,63,54,88,13,1,31,0.823529412,0.93442623,0.916666667,0.875,0.84375,0.946236559,0.928571429,1,0.885714286
A3NUYAG56BPYBB,12,22,14,26,19,39,6,0,11,6,12,5,14,13,22,2,0,8,0.5,0.545454545,0.357142857,0.538461538,0.684210526,0.564102564,0.333333333,0,0.727272727
A3MPHGI584PR1U,33,54,40,56,53,79,15,1,31,13,18,15,22,22,40,7,0,17,0.393939394,0.333333333,0.375,0.392857143,0.41509434,0.506329114,0.466666667,0,0.548387097
A1MJFW27HXR76D,26,37,33,49,38,63,11,1,22,20,32,24,37,31,55,8,1,15,0.769230769,0.864864865,0.727272727,0.755102041,0.815789474,0.873015873,0.727272727,1,0.681818182
A30GPAEVFFIAIW,32,54,45,52,49,78,15,1,28,14,29,24,22,21,52,5,1,16,0.4375,0.537037037,0.533333333,0.423076923,0.428571429,0.666666667,0.333333333,1,0.571428571
A2RVEG53L48BAE,15,29,17,27,26,35,8,0,12,0,5,1,7,8,15,3,0,2,0,0.172413793,0.058823529,0.259259259,0.307692308,0.428571429,0.375,0,0.166666667
A171WYV1TRESW8,15,29,22,33,29,41,8,0,16,5,8,8,10,10,18,5,0,9,0.333333333,0.275862069,0.363636364,0.303030303,0.344827586,0.43902439,0.625,0,0.5625
A15RSC70TW7ZKW,30,42,44,53,47,78,12,2,27,7,19,11,15,18,35,7,1,14,0.233333333,0.452380952,0.25,0.283018868,0.382978723,0.448717949,0.583333333,0.5,0.518518519
A34I7PV0UHRMKS,28,58,45,59,48,84,15,0,30,7,16,15,16,16,23,5,0,14,0.25,0.275862069,0.333333333,0.271186441,0.333333333,0.273809524,0.333333333,0,0.466666667
A3C49ON1P4KF40,24,57,40,58,47,82,12,0,23,9,30,16,21,18,34,2,0,10,0.375,0.526315789,0.4,0.362068966,0.382978723,0.414634146,0.166666667,0,0.434782609
A2798F0ZHDDZ78,34,99,60,92,93,135,27,3,38,11,65,24,45,43,73,9,1,19,0.323529412,0.656565657,0.4,0.489130435,0.462365591,0.540740741,0.333333333,0.333333333,0.5
ALM8YFO0272UR,27,48,41,54,40,66,14,1,27,21,44,32,46,37,61,10,1,23,0.777777778,0.916666667,0.780487805,0.851851852,0.925,0.924242424,0.714285714,1,0.851851852
AMYRVTU53MLYO,20,37,34,42,36,57,9,0,19,10,16,16,16,19,37,5,0,9,0.5,0.432432432,0.470588235,0.380952381,0.527777778,0.649122807,0.555555556,0,0.473684211
A5T9IFDZ3W4T6,20,41,28,39,35,54,10,1,19,7,19,10,12,11,22,4,1,9,0.35,0.463414634,0.357142857,0.307692308,0.314285714,0.407407407,0.4,1,0.473684211
A2VR9O234UCT9T,24,46,41,50,44,72,11,5,22,8,23,18,17,22,34,6,2,9,0.333333333,0.5,0.43902439,0.34,0.5,0.472222222,0.545454545,0.4,0.409090909
A2QQFGD7K7AHK8,15,25,21,30,21,34,9,0,12,5,6,5,11,9,16,4,0,5,0.333333333,0.24,0.238095238,0.366666667,0.428571429,0.470588235,0.444444444,0,0.416666667
A3NYQPXI8I57R1,16,27,19,34,24,46,9,0,17,7,12,7,18,13,29,3,0,12,0.4375,0.444444444,0.368421053,0.529411765,0.541666667,0.630434783,0.333333333,0,0.705882353
A2KVYRNL2CK95F,17,26,25,36,38,52,9,0,19,5,8,10,14,24,30,4,0,11,0.294117647,0.307692308,0.4,0.388888889,0.631578947,0.576923077,0.444444444,0,0.578947368
A2TH9DIRISH8FE,35,46,40,49,39,88,8,1,19,15,22,14,17,17,49,3,1,9,0.428571429,0.47826087,0.35,0.346938776,0.435897436,0.556818182,0.375,1,0.473684211
AA8MK8AWWWL62,36,87,70,88,76,127,18,2,41,11,39,24,24,26,60,7,1,19,0.305555556,0.448275862,0.342857143,0.272727273,0.342105263,0.472440945,0.388888889,0.5,0.463414634
A1PP6DN7HB6Q9P,19,33,27,41,32,57,12,1,17,8,13,6,16,14,29,6,1,10,0.421052632,0.393939394,0.222222222,0.390243902,0.4375,0.50877193,0.5,1,0.588235294
A27TKWMGFUCDMY,21,38,23,42,31,57,8,0,23,7,16,6,18,15,31,3,0,13,0.333333333,0.421052632,0.260869565,0.428571429,0.483870968,0.543859649,0.375,0,0.565217391
AICK0VN8QOZT2,37,62,52,64,59,92,10,1,29,19,28,24,18,24,54,5,1,14,0.513513514,0.451612903,0.461538462,0.28125,0.406779661,0.586956522,0.5,1,0.482758621
A33YV3NK3GWR8V,26,46,36,53,42,66,14,1,25,10,24,14,21,17,35,8,1,13,0.384615385,0.52173913,0.388888889,0.396226415,0.404761905,0.53030303,0.571428571,1,0.52
AQDJLDXG1PAF3,20,43,31,43,31,66,11,0,18,8,18,9,14,12,23,4,0,9,0.4,0.418604651,0.290322581,0.325581395,0.387096774,0.348484848,0.363636364,0,0.5
A2NCNAIYI022X9,16,29,25,30,29,43,8,0,15,11,21,17,24,18,34,8,0,10,0.6875,0.724137931,0.68,0.8,0.620689655,0.790697674,1,0,0.666666667
AIX6PAGON01EE,53,79,71,88,77,149,15,2,34,19,37,29,33,27,76,5,1,15,0.358490566,0.46835443,0.408450704,0.375,0.350649351,0.510067114,0.333333333,0.5,0.441176471
AKP3UXJ0TDPVO,12,24,15,27,24,30,9,0,13,6,13,4,16,11,15,4,0,5,0.5,0.541666667,0.266666667,0.592592593,0.458333333,0.5,0.444444444,0,0.384615385
A2LV5432PV1S39,22,55,38,51,45,74,12,1,21,16,45,30,43,31,65,11,1,15,0.727272727,0.818181818,0.789473684,0.843137255,0.688888889,0.878378378,0.916666667,1,0.714285714
A112LUS6RHBNYB,28,47,34,45,28,77,11,1,15,14,30,15,16,12,41,5,0,9,0.5,0.638297872,0.441176471,0.355555556,0.428571429,0.532467532,0.454545455,0,0.6
A2KBDMSS91OUPE,55,112,84,92,95,149,18,2,45,20,52,37,28,30,60,5,0,21,0.363636364,0.464285714,0.44047619,0.304347826,0.315789474,0.402684564,0.277777778,0,0.466666667
A02V2W10EPTMQ,13,19,14,27,20,28,6,0,10,3,8,5,10,7,15,2,0,4,0.230769231,0.421052632,0.357142857,0.37037037,0.35,0.535714286,0.333333333,0,0.4
A12C01LD8TO3Y8,24,36,23,39,36,49,13,0,19,11,19,6,17,17,24,5,0,11,0.458333333,0.527777778,0.260869565,0.435897436,0.472222222,0.489795918,0.384615385,0,0.578947368
AFDYZFJVIAUJ,26,41,32,44,29,49,9,0,15,10,18,7,12,9,14,3,0,5,0.384615385,0.43902439,0.21875,0.272727273,0.310344828,0.285714286,0.333333333,0,0.333333333
A37N5X89RE99B0,26,42,32,48,44,61,13,1,30,9,19,9,18,17,29,6,1,16,0.346153846,0.452380952,0.28125,0.375,0.386363636,0.475409836,0.461538462,1,0.533333333
A2UTHR7YGLN9DC,29,38,35,46,44,58,12,1,23,9,21,15,14,18,36,5,1,9,0.310344828,0.552631579,0.428571429,0.304347826,0.409090909,0.620689655,0.416666667,1,0.391304348
AZ2DZLLMYQF1P,21,34,29,37,33,53,8,0,19,10,15,11,10,12,26,2,0,6,0.476190476,0.441176471,0.379310345,0.27027027,0.363636364,0.490566038,0.25,0,0.315789474
A2539PUSDD137T,31,55,42,50,48,87,15,1,23,10,27,12,19,20,45,5,0,10,0.322580645,0.490909091,0.285714286,0.38,0.416666667,0.517241379,0.333333333,0,0.434782609
A3E73BVSABJ7LM,8,22,13,24,18,37,6,0,9,4,4,6,9,7,18,3,0,7,0.5,0.181818182,0.461538462,0.375,0.388888889,0.486486486,0.5,0,0.777777778
A1HKB73TUJ5Z42,12,26,15,25,20,31,6,1,10,4,12,4,12,10,13,3,0,6,0.333333333,0.461538462,0.266666667,0.48,0.5,0.419354839,0.5,0,0.6
A20WI3VW3CBOWN,31,68,55,60,51,78,12,1,32,15,26,25,21,18,33,6,1,13,0.483870968,0.382352941,0.454545455,0.35,0.352941176,0.423076923,0.5,1,0.40625
A3JXAURWDF54DG,38,56,53,65,59,88,15,3,30,19,33,23,23,24,40,6,1,12,0.5,0.589285714,0.433962264,0.353846154,0.406779661,0.454545455,0.4,0.333333333,0.4
A3P46WP16JCU2V,36,56,50,62,57,88,12,1,33,11,24,14,18,21,41,4,1,15,0.305555556,0.428571429,0.28,0.290322581,0.368421053,0.465909091,0.333333333,1,0.454545455
A1PKCBFB4QY19G,36,89,70,85,84,126,15,2,30,18,50,42,41,37,68,11,0,17,0.5,0.561797753,0.6,0.482352941,0.44047619,0.53968254,0.733333333,0,0.566666667
A17CM9QPETQYGH,58,105,74,93,101,161,17,1,34,28,73,50,48,52,111,8,1,20,0.482758621,0.695238095,0.675675676,0.516129032,0.514851485,0.689440994,0.470588235,1,0.588235294
A2WNVSJ1Y06SS1,31,47,37,50,49,75,11,2,28,9,19,19,19,19,39,5,1,16,0.290322581,0.404255319,0.513513514,0.38,0.387755102,0.52,0.454545455,0.5,0.571428571
A002160837SWJFPIAI7L,22,41,32,47,41,59,12,1,29,11,20,16,20,24,33,7,1,18,0.5,0.487804878,0.5,0.425531915,0.585365854,0.559322034,0.583333333,1,0.620689655
A1OK974KXKO6FJ,36,63,41,62,61,98,14,1,30,11,32,15,23,23,50,7,0,15,0.305555556,0.507936508,0.365853659,0.370967742,0.37704918,0.510204082,0.5,0,0.5
A1PE5GCMNEFIT4,22,31,23,34,33,47,10,0,21,9,14,8,13,15,23,5,0,12,0.409090909,0.451612903,0.347826087,0.382352941,0.454545455,0.489361702,0.5,0,0.571428571
AI2PQDHMQXG2S,52,103,72,82,78,146,16,1,28,31,84,46,59,47,107,8,1,20,0.596153846,0.815533981,0.638888889,0.719512195,0.602564103,0.732876712,0.5,1,0.714285714
A29AX5O8KL48F8,19,29,24,30,27,40,8,1,18,7,12,11,10,11,22,5,1,10,0.368421053,0.413793103,0.458333333,0.333333333,0.407407407,0.55,0.625,1,0.555555556
A1QZ7RWVIXCBH9,30,55,51,53,41,85,11,0,22,10,31,21,18,16,36,4,0,6,0.333333333,0.563636364,0.411764706,0.339622642,0.390243902,0.423529412,0.363636364,0,0.272727273
A17SE6TSFTEUHM,26,51,41,55,55,71,11,1,28,8,27,13,21,21,37,5,1,14,0.307692308,0.529411765,0.317073171,0.381818182,0.381818182,0.521126761,0.454545455,1,0.5
ASUYD8BPYM85M,20,31,25,38,28,55,10,0,16,6,17,8,16,12,21,4,0,7,0.3,0.548387097,0.32,0.421052632,0.428571429,0.381818182,0.4,0,0.4375
A3FH8OSFWOLI7A,24,48,38,55,46,67,17,1,27,12,21,17,20,18,32,8,1,17,0.5,0.4375,0.447368421,0.363636364,0.391304348,0.47761194,0.470588235,1,0.62962963
AUJU22WBACIBR,29,42,38,58,46,84,12,0,25,13,17,13,18,24,44,5,0,13,0.448275862,0.404761905,0.342105263,0.310344828,0.52173913,0.523809524,0.416666667,0,0.52
A2VPMK37V0JJ5,26,59,38,48,42,76,8,1,10,5,32,4,16,14,23,3,1,4,0.192307692,0.542372881,0.105263158,0.333333333,0.333333333,0.302631579,0.375,1,0.4
A17N3LOP5HGSQ8,37,88,72,86,77,129,19,1,31,12,43,23,23,25,63,6,0,15,0.324324324,0.488636364,0.319444444,0.26744186,0.324675325,0.488372093,0.315789474,0,0.483870968
A36YZCJV91T1EX,40,58,56,66,63,91,14,2,28,27,44,43,49,43,73,12,1,21,0.675,0.75862069,0.767857143,0.742424242,0.682539683,0.802197802,0.857142857,0.5,0.75
A2BTDUJFLSBN8E,9,21,13,31,15,42,6,0,13,7,11,5,13,7,24,2,0,5,0.777777778,0.523809524,0.384615385,0.419354839,0.466666667,0.571428571,0.333333333,0,0.384615385
A1MM8TSLCHVMNK,32,70,59,74,52,104,13,0,22,6,43,16,14,14,36,6,0,6,0.1875,0.614285714,0.271186441,0.189189189,0.269230769,0.346153846,0.461538462,0,0.272727273
A16H2A65RPIJE1,15,30,22,37,34,52,8,0,13,3,12,6,11,10,19,2,0,4,0.2,0.4,0.272727273,0.297297297,0.294117647,0.365384615,0.25,0,0.307692308
A2LBOVE1R9TCNL,12,24,19,30,32,47,7,0,22,11,23,15,24,29,44,6,0,18,0.916666667,0.958333333,0.789473684,0.8,0.90625,0.936170213,0.857142857,0,0.818181818
A2CTA782EBXUCT,18,41,33,48,35,66,10,0,19,5,21,9,14,13,25,4,0,11,0.277777778,0.512195122,0.272727273,0.291666667,0.371428571,0.378787879,0.4,0,0.578947368
A1KZ6I92SWIN75,20,42,33,42,51,61,9,1,22,7,18,16,12,16,31,4,0,11,0.35,0.428571429,0.484848485,0.285714286,0.31372549,0.508196721,0.444444444,0,0.5
A247EMWK0LVQGK,38,81,63,92,85,129,21,2,36,23,60,38,62,56,102,14,1,26,0.605263158,0.740740741,0.603174603,0.673913043,0.658823529,0.790697674,0.666666667,0.5,0.722222222
A1MICIRPQ6X8B5,24,42,31,46,41,57,11,1,26,17,35,26,37,32,51,9,1,21,0.708333333,0.833333333,0.838709677,0.804347826,0.780487805,0.894736842,0.818181818,1,0.807692308
A2SF0TUK6XTPCO,26,52,44,56,50,72,12,1,28,10,24,16,18,16,29,5,0,14,0.384615385,0.461538462,0.363636364,0.321428571,0.32,0.402777778,0.416666667,0,0.5
AEMKB98WAW7YA,27,49,42,47,48,66,11,1,24,8,25,18,19,18,43,5,1,12,0.296296296,0.510204082,0.428571429,0.404255319,0.375,0.651515152,0.454545455,1,0.5
A277U5B7IPWZSY,35,81,67,81,63,108,17,1,37,12,43,23,27,22,47,7,0,17,0.342857143,0.530864198,0.343283582,0.333333333,0.349206349,0.435185185,0.411764706,0,0.459459459
A1QAXGXLG5SYUR,35,75,54,72,62,97,12,1,33,12,31,20,22,22,38,5,0,15,0.342857143,0.413333333,0.37037037,0.305555556,0.35483871,0.391752577,0.416666667,0,0.454545455
AB8FEGGUOZXXA,31,56,51,57,54,88,9,1,27,15,33,28,20,22,51,5,1,14,0.483870968,0.589285714,0.549019608,0.350877193,0.407407407,0.579545455,0.555555556,1,0.518518519
A3A4ZWV53ALGGD,30,75,59,69,68,100,14,1,32,17,38,36,27,26,62,9,1,19,0.566666667,0.506666667,0.610169492,0.391304348,0.382352941,0.62,0.642857143,1,0.59375
AXKM02NVXNGOM,27,48,39,50,36,62,13,2,21,9,26,14,24,16,28,3,0,10,0.333333333,0.541666667,0.358974359,0.48,0.444444444,0.451612903,0.230769231,0,0.476190476
ANJML6J7NL7CX,22,41,31,44,35,51,9,0,19,8,24,6,17,14,22,3,0,10,0.363636364,0.585365854,0.193548387,0.386363636,0.4,0.431372549,0.333333333,0,0.526315789
A2PGJXWUMD0M2l,35,65,59,65,58,89,10,1,29,13,34,22,20,20,44,5,1,13,0.371428571,0.523076923,0.372881356,0.307692308,0.344827586,0.494382022,0.5,1,0.448275862
A7MW43YUFAPE9,43,129,100,115,101,165,19,2,40,22,96,52,66,51,97,11,0,25,0.511627907,0.744186047,0.52,0.573913043,0.504950495,0.587878788,0.578947368,0,0.625
A1USN4KHILLJFN,21,33,35,44,38,51,10,1,18,10,17,14,13,9,30,4,1,7,0.476190476,0.515151515,0.4,0.295454545,0.236842105,0.588235294,0.4,1,0.388888889
ADIXVUPICNIY4,31,69,54,70,74,113,11,4,28,13,35,25,22,30,56,6,1,16,0.419354839,0.507246377,0.462962963,0.314285714,0.405405405,0.495575221,0.545454545,0.25,0.571428571
A13XORUKQX5F4P,36,57,61,61,44,121,7,0,24,26,45,46,31,26,91,4,0,14,0.722222222,0.789473684,0.754098361,0.508196721,0.590909091,0.752066116,0.571428571,0,0.583333333
A3ROI7SRC1SG2K,30,50,44,58,54,81,13,1,27,16,30,26,36,48,53,8,0,19,0.533333333,0.6,0.590909091,0.620689655,0.888888889,0.654320988,0.615384615,0,0.703703704
A1RHBUX8TCACCX,17,36,27,47,46,56,11,0,28,6,16,9,15,22,26,6,0,16,0.352941176,0.444444444,0.333333333,0.319148936,0.47826087,0.464285714,0.545454545,0,0.571428571
A2ALBHYA6M67ZT,36,70,54,80,70,111,16,2,27,12,35,12,28,28,47,8,0,15,0.333333333,0.5,0.222222222,0.35,0.4,0.423423423,0.5,0,0.555555556
A35QYDS8MRV1EX,10,22,15,28,16,41,7,0,13,4,13,2,10,7,22,2,0,5,0.4,0.590909091,0.133333333,0.357142857,0.4375,0.536585366,0.285714286,0,0.384615385
A3LR5YED234XPN,11,21,14,21,21,31,6,0,13,7,11,9,15,14,27,4,0,9,0.636363636,0.523809524,0.642857143,0.714285714,0.666666667,0.870967742,0.666666667,0,0.692307692
AHZ7C7ETHYX3N,11,25,18,32,18,37,6,0,9,6,20,14,26,15,32,5,0,7,0.545454545,0.8,0.777777778,0.8125,0.833333333,0.864864865,0.833333333,0,0.777777778
A6N190372TE5T,33,74,62,76,60,104,11,0,28,16,42,32,31,18,54,5,0,14,0.484848485,0.567567568,0.516129032,0.407894737,0.3,0.519230769,0.454545455,0,0.5
AB0ERVDNMMLYS,22,42,34,48,45,65,8,1,22,11,17,15,15,19,44,6,0,13,0.5,0.404761905,0.441176471,0.3125,0.422222222,0.676923077,0.75,0,0.590909091
A11O504U2EJUGU,24,38,24,55,45,77,11,0,17,13,19,13,23,26,42,6,0,12,0.541666667,0.5,0.541666667,0.418181818,0.577777778,0.545454545,0.545454545,0,0.705882353
a3tqoe015me7tn,18,33,24,41,33,49,13,0,15,4,14,3,12,13,25,3,0,5,0.222222222,0.424242424,0.125,0.292682927,0.393939394,0.510204082,0.230769231,0,0.333333333
A1L2N1X8U8Z3W7,24,39,30,38,33,64,13,0,19,9,18,10,12,10,21,3,0,6,0.375,0.461538462,0.333333333,0.315789474,0.303030303,0.328125,0.230769231,0,0.315789474
AFUPQ61YDVIBQ,19,57,27,48,48,65,14,0,16,6,17,3,11,12,14,3,0,5,0.315789474,0.298245614,0.111111111,0.229166667,0.25,0.215384615,0.214285714,0,0.3125
A1A7KLOCEERE60,20,54,35,51,43,69,12,0,21,11,28,16,18,17,32,5,0,12,0.55,0.518518519,0.457142857,0.352941176,0.395348837,0.463768116,0.416666667,0,0.571428571
A2QH1BQA6GR48O,19,35,24,41,23,49,9,0,19,6,20,8,14,12,26,4,0,10,0.315789474,0.571428571,0.333333333,0.341463415,0.52173913,0.530612245,0.444444444,0,0.526315789
A3CJE20YDRGCB4,19,32,28,37,29,48,8,0,18,4,6,7,13,9,15,4,0,8,0.210526316,0.1875,0.25,0.351351351,0.310344828,0.3125,0.5,0,0.444444444
A2SHW0VA0MJ8N0,11,22,19,25,17,32,7,0,12,7,9,10,11,7,26,4,0,6,0.636363636,0.409090909,0.526315789,0.44,0.411764706,0.8125,0.571428571,0,0.5
AIYJ5S5A9OR2I,64,110,83,104,96,161,16,3,38,23,49,25,31,38,72,7,1,21,0.359375,0.445454545,0.301204819,0.298076923,0.395833333,0.447204969,0.4375,0.333333333,0.552631579
A1KX1CMLUCQNFX,34,61,48,72,63,93,14,1,35,28,57,44,63,53,88,13,1,31,0.823529412,0.93442623,0.916666667,0.875,0.841269841,0.946236559,0.928571429,1,0.885714286
A1DENY90PJEZB7,23,30,24,43,42,55,9,1,21,13,22,16,35,31,51,8,1,17,0.565217391,0.733333333,0.666666667,0.813953488,0.738095238,0.927272727,0.888888889,1,0.80952381
A2U8EBN3IPMJ19,35,56,41,55,49,74,13,2,31,12,23,15,17,22,31,3,1,14,0.342857143,0.410714286,0.365853659,0.309090909,0.448979592,0.418918919,0.230769231,0.5,0.451612903
A1LQLIHRB3SCXN,23,29,29,32,29,47,7,2,16,10,16,11,15,16,26,3,1,11,0.434782609,0.551724138,0.379310345,0.46875,0.551724138,0.553191489,0.428571429,0.5,0.6875
A1UWI7N32Y2PJ8,38,59,67,55,53,107,14,0,21,13,35,30,17,18,49,3,0,7,0.342105263,0.593220339,0.447761194,0.309090909,0.339622642,0.457943925,0.214285714,0,0.333333333
AJQCFLT9M4RKF,11,22,16,31,23,44,9,0,14,7,9,6,10,13,24,2,0,7,0.636363636,0.409090909,0.375,0.322580645,0.565217391,0.545454545,0.222222222,0,0.5
A1YHIQHLLLQIIQ,22,39,30,44,35,51,8,0,23,12,15,15,13,12,31,4,0,12,0.545454545,0.384615385,0.5,0.295454545,0.342857143,0.607843137,0.5,0,0.52173913
A33UQADFRXM0N,29,84,59,94,74,164,10,1,26,7,41,23,28,28,64,4,1,11,0.24137931,0.488095238,0.389830508,0.29787234,0.378378378,0.390243902,0.4,1,0.423076923
A1CB2A9NEL2D7E,26,48,38,49,44,63,12,1,24,11,23,15,21,15,40,7,1,11,0.423076923,0.479166667,0.394736842,0.428571429,0.340909091,0.634920635,0.583333333,1,0.458333333
A1HM2VBI4T638R,22,31,22,37,29,47,9,1,16,16,27,19,33,22,44,8,1,11,0.727272727,0.870967742,0.863636364,0.891891892,0.75862069,0.936170213,0.888888889,1,0.6875
A1V8TY7FNEJI60,46,115,69,92,90,134,18,1,41,18,79,38,44,45,85,11,1,22,0.391304348,0.686956522,0.550724638,0.47826087,0.5,0.634328358,0.611111111,1,0.536585366
A8562J49TRH3C,23,58,41,56,44,82,10,1,23,9,33,15,24,24,38,5,1,12,0.391304348,0.568965517,0.365853659,0.428571429,0.545454545,0.463414634,0.5,1,0.52173913
AC6P8A8PDBJPD,14,23,17,22,21,30,6,0,10,6,10,7,8,9,15,3,0,5,0.428571429,0.434782609,0.411764706,0.363636364,0.428571429,0.5,0.5,0,0.5
A3N30TU7ZTLNB9,11,25,17,26,20,37,8,0,9,5,8,4,6,10,13,3,0,3,0.454545455,0.32,0.235294118,0.230769231,0.5,0.351351351,0.375,0,0.333333333
A2Y05OCB1H60K3,33,61,58,63,59,85,14,2,32,22,46,41,48,43,70,10,1,24,0.666666667,0.754098361,0.706896552,0.761904762,0.728813559,0.823529412,0.714285714,0.5,0.75
A1FP8W05KYYQ04,29,49,40,56,43,80,13,2,27,12,24,16,22,25,40,6,1,13,0.413793103,0.489795918,0.4,0.392857143,0.581395349,0.5,0.461538462,0.5,0.481481481
AIVSV91CBYI12,34,59,48,67,63,93,17,1,34,14,26,19,31,27,51,9,1,20,0.411764706,0.440677966,0.395833333,0.462686567,0.428571429,0.548387097,0.529411765,1,0.588235294
A37Q40126A4RNA,37,77,56,70,76,101,12,0,36,11,41,12,35,39,56,7,0,19,0.297297297,0.532467532,0.214285714,0.5,0.513157895,0.554455446,0.583333333,0,0.527777778
A2JLMFZI6MLMFS,9,17,17,23,15,35,3,0,7,3,7,3,11,7,19,2,0,5,0.333333333,0.411764706,0.176470588,0.47826087,0.466666667,0.542857143,0.666666667,0,0.714285714
A2ASTDMWBCFIP0,25,64,45,57,55,88,12,0,21,6,28,15,17,19,40,3,0,11,0.24,0.4375,0.333333333,0.298245614,0.345454545,0.454545455,0.25,0,0.523809524
AQAXDL1INQC9Q,13,25,19,28,21,38,8,0,13,3,8,5,7,7,17,5,0,7,0.230769231,0.32,0.263157895,0.25,0.333333333,0.447368421,0.625,0,0.538461538
A2585MULTOM1Z5,34,73,57,76,65,113,17,1,30,13,40,22,37,29,62,7,1,15,0.382352941,0.547945205,0.385964912,0.486842105,0.446153846,0.548672566,0.411764706,1,0.5
A1HOSLU4DG2MDS,26,59,42,58,40,70,14,0,24,7,31,14,18,11,24,4,0,5,0.269230769,0.525423729,0.333333333,0.310344828,0.275,0.342857143,0.285714286,0,0.208333333
A1160COTUR26JZ,26,85,62,76,67,110,12,1,25,9,52,33,38,38,68,7,1,17,0.346153846,0.611764706,0.532258065,0.5,0.567164179,0.618181818,0.583333333,1,0.68
A302M81U0HM7RJ,31,58,48,66,59,116,10,2,27,12,34,16,27,27,54,4,0,15,0.387096774,0.586206897,0.333333333,0.409090909,0.457627119,0.465517241,0.4,0,0.555555556
A1KF05U5IO9AFG,21,32,24,39,33,56,7,0,17,7,13,6,18,13,31,3,0,10,0.333333333,0.40625,0.25,0.461538462,0.393939394,0.553571429,0.428571429,0,0.588235294
AOX8BJNGGNDZH,29,59,36,58,52,87,9,2,27,12,26,18,21,21,52,6,1,17,0.413793103,0.440677966,0.5,0.362068966,0.403846154,0.597701149,0.666666667,0.5,0.62962963
A276N5FFOSK2FX,28,42,41,55,43,68,14,1,22,10,15,13,16,18,29,6,1,10,0.357142857,0.357142857,0.317073171,0.290909091,0.418604651,0.426470588,0.428571429,1,0.454545455
A17F6MB9SZYV57,39,50,43,58,52,103,14,1,32,17,22,19,24,28,58,7,1,19,0.435897436,0.44,0.441860465,0.413793103,0.538461538,0.563106796,0.5,1,0.59375
A184EIWAV7P9EH,24,50,33,56,39,82,14,0,18,11,14,11,23,20,42,7,0,10,0.458333333,0.28,0.333333333,0.410714286,0.512820513,0.512195122,0.5,0,0.555555556
A2UOBJK4K2SB4U,27,44,32,46,43,69,13,1,25,19,35,24,37,35,57,9,1,22,0.703703704,0.795454545,0.75,0.804347826,0.813953488,0.826086957,0.692307692,1,0.88
A6JOC24PSUEEC,20,29,20,34,25,46,6,0,11,6,6,3,10,7,14,2,0,3,0.3,0.206896552,0.15,0.294117647,0.28,0.304347826,0.333333333,0,0.272727273
